         4007 function calls (3931 primitive calls) in 0.795 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:273(getuntil)
        5    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\subprocess.py:296(_optim_args_from_interpreter_flags)
        5    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_check_name_wrapper)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1501(_path_importer_cache)
       44    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:85(opengroup)
       48    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       14    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       48    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        2    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:448(_uniq)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\subprocess.py:476(CompletedProcess)
       18    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        5    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\enum.py:695(__call__)
        5    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\subprocess.py:199(__init__)
       12    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:292(tell)
       20    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\spawn.py:36(set_executable)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\weakref.py:289(update)
        9    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:175(append)
       15    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        3    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\enum.py:1589(_get_value)
        2    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\functools.py:66(wraps)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\subprocess.py:132(CalledProcessError)
        2    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_compiler.py:214(_compile_charset)
       13    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:163(__len__)
        9    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       13    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        9    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFCD7584050}
        3    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_compiler.py:401(_simple)
        5    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\process.py:205(daemon)
        2    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:303(checkgroupname)
        5    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\util.py:45(sub_debug)
        5    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        5    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\process.py:189(name)
        6    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        5    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\context.py:237(get_context)
       18    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        9    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:230(__init__)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\subprocess.py:221(Handle)
        9    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_compiler.py:439(_get_literal_prefix)
        5    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\context.py:253(get_start_method)
       10    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       30    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        9    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\popen_spawn_win32.py:40(Popen)
       10    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\spawn.py:45(get_executable)
        1    0.000    0.000    0.000    0.000 {built-in method atexit.register}
        5    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\process.py:213(authkey)
        2    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\subprocess.py:169(TimeoutExpired)
        1    0.000    0.000    0.000    0.000 <frozen os>:856(fsdecode)
        5    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_compiler.py:410(_generate_overlap_table)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        6    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:82(groups)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\util.py:249(Finalize)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\enum.py:1156(__new__)
        7    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:112(__init__)
        3    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       10    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\process.py:37(current_process)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        2    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_compiler.py:573(isstring)
        2    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:954(fix_flags)
        2    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\util.py:435(ForkAwareThreadLock)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        3    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:171(__setitem__)
        6    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\site-packages\_distutils_hack\__init__.py:108(<lambda>)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\subprocess.py:198(STARTUPINFO)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1018(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1185(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1210(get_filename)
        2    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1014(is_package)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_compiler.py:431(_get_iscased)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\subprocess.py:701(_use_posix_spawn)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\subprocess.py:129(SubprocessError)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\util.py:109(_platform_supports_abstract_sockets)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\util.py:452(ForkAwareLocal)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:76(__init__)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\popen_spawn_win32.py:24(_path_eq)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.globals}


